first_author,institution,full_affiliation
 Justin George,Sarasota Memorial Hospital-Florida State University College of Medicine,"Sarasota Memorial Hospital-Florida State University College of Medicine, Sarasota, FL"
 Tessa Wiley,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Maja Kopczynska,Cardiff University,"Cardiff University, Cardiff, United Kingdom"
 Olivia Henton,Riverside Methodist Hospital,"Riverside Methodist Hospital, Columbus, OH"
 Amanda Shigle,University of Cincinnati,"University of Cincinnati, Cincinnati, OH"
 Shane Soorus,University of Miami Hospital and Clinics,"University of Miami Hospital and Clinics, Miami, FL"
 Ami Grek,Mayo Clinic,"Mayo Clinic, Jacksonville Beach, FL"
 Matthew Dettmer,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Deborah Talley,BWMC,"BWMC, Glen Bernie, MD"
 Kiran Gudivada,St. John’s Medical College Hospital,"St. John’s Medical College Hospital, Bangalore, India"
 Juliana Heatter,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Steven Gannon,Baylor University Medical Center,"Baylor University Medical Center, Dallas, TX"
 Razvan Azamfirei,Johns Hopkins School of Medicine,"Johns Hopkins School of Medicine, Baltimore, MD"
 Ming Xue,Department of Critical Care Medicine,"Department of Critical Care Medicine, Zhongda Hospital, Southeast University, Nanjing,China"
 Dijoia Darden,Gainesville,"Gainesville, FL"
 Anne Drewry,Washington University School of Medicine,"Washington University School of Medicine, Saint Louis, MO"
 Muhammad Khan,Aga Khan University,"Aga Khan University, Karachi, Pakistan"
 Isaac Biney,Knoxville,"Knoxville, TN"
 Olaa Alfaouri,Englewood Health,"Englewood Health, Englewood, NJ"
 Corissa Piatka,University of Cincinnati Medical Center,"University of Cincinnati Medical Center, Cincinnati, OH"
 Kam Sing Ho,New York,"New York, NY"
 Yanglin Guo,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Jean-Francois Mathieu,University of Montreal & Verdun Hospital,"University of Montreal & Verdun Hospital, Montreal, QC"
 Ruth Spector,Good Samaritan Hospital,"Good Samaritan Hospital, Great Neck, NY"
 Kam Sing Ho,New York,"New York, NY"
 Simon Lam,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Gretchen Sacha,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Jennifer Lee,NYP Brooklyn Methodist Hospital,"NYP Brooklyn Methodist Hospital, Brooklyn, NY"
 Steven Blau,Socratic Dialogue,"Socratic Dialogue, Inc., White Plains, NY"
 Norma Smalls-Mantey,Howard University Hospital,"Howard University Hospital, Washington, DC"
 Mark Frommelt,University of Wisconsin,"University of Wisconsin, Madison, WI"
 Christine Personett,Atrium Health,"Atrium Health, Charlotte, NC"
 Gretchen Sacha,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Jonathan Chow,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Victor Prado,Cook County Hospital,"Cook County Hospital, Chicago, IL"
 Christian Hauser,MUSC Health of Medical University of South Carolina,"MUSC Health of Medical University of South Carolina, Charleston, SC"
 Andres Laserna,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Emily McDonnell,Barnes Jewish Hospital,"Barnes Jewish Hospital, St. Louis, MO"
 Alyssa Chen,Cleveland,"Cleveland, OH"
 Sukhen Samanta,The Mission Hospital,"The Mission Hospital, Durgapur, West Bengal, India"
 Ruth Spector,Good Samaritan Hospital,"Good Samaritan Hospital, Great Neck, NY"
 Brice Taylor,Carolinas Medical Center,"Carolinas Medical Center, Charlotte, NC"
 Marina Pittiglio,Community Medical Center,"Community Medical Center, Toms River, NJ"
 Mostafa Aboubakr,University of Miami at Holy Cross Hospital,"University of Miami at Holy Cross Hospital, Fort Lauderdale, FL"
 Bradley Faliks,Plainview,"Plainview, NY"
 Kelley Smith,Lexington,"Lexington, KY"
 Nicholas Mazur,Wayne State University School of Medicine,"Wayne State University School of Medicine, Detroit, MI"
 Gabrielle Rieth,Albany Medical Center,"Albany Medical Center, Albany, NY"
 Antony Arumairaj,New York Medical College,"New York Medical College, Metropolitan Hospital Center, New York, NY"
 Sahil Mehta,Washington University,"Washington University, St Louis"
 Sanjoy Roychowdhury,Cleveland Clinic Lerner Research Institute,"Cleveland Clinic Lerner Research Institute, Cleveland, OH"
 Galit Frydman,Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Cambridge, MA"
 Alexandria Rydz,The Wexner Medical Center at The Ohio State University,"The Wexner Medical Center at The Ohio State University, Columbus, OH"
 Galit Frydman,Massachusetts General Hospital,"Massachusetts General Hospital, Boston, MA"
 Matthew Taylor,Cohen Children’s Medical Center,"Cohen Children’s Medical Center, New Hyde Park, NY"
 Zachary Aldewereld,UPMC Children’s Hospital of Pittsburgh,"UPMC Children’s Hospital of Pittsburgh, Pittsburgh, PA"
 Diana Pang,Norfolk,"Norfolk, VA"
 Jeffrey Strich,National Institutes of Health Clinical Center,"National Institutes of Health Clinical Center, Bethesda, MD"
 Bereketeab Haileselassie,Stanford University School of Medicine,"Stanford University School of Medicine, Palo Alto, CA"
 Justin Anderson,Geisel School of Medicine at Dartmouth,"Geisel School of Medicine at Dartmouth, Lebanon, NH"
 Justin Anderson,Geisel School of Medicine at Dartmouth,"Geisel School of Medicine at Dartmouth, Lebanon, NH"
 Khushboo Gandhi,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Jonathan Quang,Reading Hospital,"Reading Hospital, West Reading, PA"
 Ryan Hunter,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Jeffrey Melvin,Albert Einstein College of Medicine,"Albert Einstein College of Medicine, Bronx, NY"
 Elit Hadad,Baylor College of Medicine/ Texas Children’s Hospital,"Baylor College of Medicine/ Texas Children’s Hospital, Houston, TX"
 Christan Santos,Mayo Clinic Hospital in Florida,"Mayo Clinic Hospital in Florida, Jacksonville, FL"
 Matt Wingo,New York,"New York, NY"
 Jarmil Alyssa Peters,SUNY Downstate,"SUNY Downstate, Brooklyn, NY"
 Stephanie Carmon,Mayo Clinic Hospital in Florida,"Mayo Clinic Hospital in Florida, Jacksonville, Fl"
 Craig Furnish,University of Colorado School of Pharmacy,"University of Colorado School of Pharmacy, Aurora, CO"
 Hali DePrima,University of California San Diego Medical Center,"University of California San Diego Medical Center, San Diego, CA"
 Nicholas Barker,Emory Saint Joseph’s Hospital,"Emory Saint Joseph’s Hospital, Atlanta, GA"
 Kristin Schmid,N/A,N/A
 Scott Helgeson,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Zhigang Chang,Department of Surgical Intensive Care Medicine,"Department of Surgical Intensive Care Medicine, Beijing Hospital, National Center of Gerontology, Beijing, China"
 Nathaniel Martin,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Safana Atwan,Ascension St. John Hospital,"Ascension St. John Hospital, Detroit, MI"
 Mariam Saeed,Bronx,"Bronx, NY"
 Jetina Okereke,University of Tennessee-Chattanooga,"University of Tennessee-Chattanooga, Chattanooga, TN"
 DIPAN OZA,St. Agnes Hospital,"St. Agnes Hospital, Baltimore, MD"
 Victor Chauvet Almazan,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Tu-Trinh Tran,Grady Health System,"Grady Health System, Atlanta, GA"
 Scott Leikin,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Khushboo Gandhi,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Syed Abbas,Montefiore Medical Center,"Montefiore Medical Center, Bronx, NY"
 Moinay Kim,Seoul,"Seoul, South Korea"
 Nasim Motayar,Strong Memorial Hospital of the University of Rochester,"Strong Memorial Hospital of the University of Rochester, Rochester, NY"
 Casey Scully,Carolinas Medical Center,"Carolinas Medical Center, Charlotte, NC"
 Katelyn Phelps,Jefferson Northeast,"Jefferson Northeast, Philadelphia, PA"
 Valentina Amaral,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Yuliya Pinevich,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Genevieve Cheung,University of California,"University of California, San Diego Health, San Diego, CA"
 Alexa Holcomb,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Anil Gulati,Pharmazz,"Pharmazz, Inc., Willowbrook, IL"
 Valentina Amaral,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Rafi Mazor,PhD,"PhD, La Jolla, CA"
 Marwa Amer,King Faisal Specialist Hospital and Research Center,"King Faisal Specialist Hospital and Research Center, Riyadh, Saudi Arabia"
 Kelly Groover,Lee Memorial Hospital,"Lee Memorial Hospital, Fort Myers, Florida"
 Hayley Tatro,Boston,"Boston, MA"
 Megan Jaynes,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Maighdlin Anderson,University of Pittsburgh School of Nursing,"University of Pittsburgh School of Nursing, Pittsburgh, PA"
 Meghin Moynihan,Mercy Hospital St Louis,"Mercy Hospital St Louis, St Louis, MO"
 Van Bui,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Jordan Perrine,Knoxville,"Knoxville, TN"
 Vanessa Mazandi,Philadelphia,"Philadelphia, PA"
 Katie Nault,Lahey Hospital & Medical Center,"Lahey Hospital & Medical Center, Burlington, MA"
 Ronald Simon,Maimonides Medical Center,"Maimonides Medical Center, Brooklyn, NY"
 Adam Laytin,Philadelphia,"Philadelphia, PA"
 Jessica Friedman,New Orleans,"New Orleans, LA"
 Matthew Korobey,Mercy Hospital,"Mercy Hospital, Saint Louis, MO"
 Anne Abio,University of Turku,"University of Turku, Turku, Finland"
 Tsunehiro Matsubara,Osaka University Hospital,"Osaka University Hospital, Suita-Shi, Osaka-Fu"
 Kazuya Oi,Department of Traumatology and Acute Critical Medicine Osaka University Graduate School of Medicine,"Department of Traumatology and Acute Critical Medicine Osaka University Graduate School of Medicine, Suita City, Japan"
 Elizabeth Lewis,Grand Rapids,"Grand Rapids, MI"
 Brett Tracy,Emory University School of Medicine,"Emory University School of Medicine, Atlanta, GA"
 Ashley Taylor,Augusta University Medical Center,"Augusta University Medical Center, Augusta, GA"
 Elisabeth Schneider,Saint Anthony Hospital,"Saint Anthony Hospital, Lakewood, CO"
 Emily Schranz,Rochester,"Rochester, NY"
 Rachel Bigos,Department of Pharmacy,"Department of Pharmacy, UMass Memorial Medical Center, Worcester, MA"
 William Peppard,Froedtert & the Medical College of Wisconsin,"Froedtert & the Medical College of Wisconsin, Milwaukee, WI"
 Melanie Smith,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Janelle Poyant,Department of Pharmacy,"Department of Pharmacy, Boston, MA"
 Hilary Faust,University of Wisconsin School of Medicine and Public Health,"University of Wisconsin School of Medicine and Public Health, Madison, WI"
 Kristen Carter,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Luiz Moreira Filho,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Julia Beatty,Cincinnati,"Cincinnati, OH"
 Casey O’Connell,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Elizabeth Scanlon,Froedtert & the Medical College of Wisconsin,"Froedtert & the Medical College of Wisconsin, Milwaukee, WI"
 Sally Kim,Kingsbrook Jewish Medical Center,"Kingsbrook Jewish Medical Center, Brooklyn, NY"
 Brett Tracy,Emory University,"Emory University, Atlanta, GA"
 Alexander Papa,Philadelphia College of Osteopathic Medicine,"Philadelphia College of Osteopathic Medicine, Philadelphia, PA"
 Connor Larson,MUSC,"MUSC, Charleston, SC"
 Brendan Mangan,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Tori Adams,Wesley Healthcare Center,"Wesley Healthcare Center, Wichita, KS"
 Tucker Lurie,University of Maryland Emergency Department,"University of Maryland Emergency Department, Baltimore, MD"
 Alice Lee,Philadelphia College of Osteopathic Medicine,"Philadelphia College of Osteopathic Medicine, Philadelphia, PA"
 Hannah Sofield,Scranton,"Scranton, PA"
 Kimberly Berry,University of Colorado Hospital,"University of Colorado Hospital, Aurora, CO"
 Garima Thakkar,University of Missouri - Kansas City,"University of Missouri - Kansas City, Kansas City, MO"
 Yudai Yoshino,Onchikai Aidu Chuo Hospital,"Onchikai Aidu Chuo Hospital, Fukushima, Japan"
 Viviana de Assis,Eglin Air Force Base,"Eglin Air Force Base, Eglin AFB, FL"
 Nathan Goad,Cabell Huntington Hospital,"Cabell Huntington Hospital, Huntington, WV"
 Minichiello Joseph,Geisel School of Medicine,"Geisel School of Medicine, Hanover, NH"
 Mary McIntyre,Philadelphia College of Pharmacy,"Philadelphia College of Pharmacy, Philadelphia, PA"
 Justin Anderson,Geisel School of Medicine at Dartmouth,"Geisel School of Medicine at Dartmouth, Lebanon, NH"
 Justin Anderson,Geisel School of Medicine at Dartmouth,"Geisel School of Medicine at Dartmouth, Lebanon, NH"
 Navid Rashedi,Thayer School of Engineering at Dartmouth,"Thayer School of Engineering at Dartmouth, Hanover, NH"
 Yifei Sun,Thayer School of Engineering at Dartmouth,"Thayer School of Engineering at Dartmouth, Hanover, NH"
 Carli Nicholson,Cleveland Clinic Akron General,"Cleveland Clinic Akron General, Akron, OH"
 Ali Seifi,University of Texas Health at San Antonio,"University of Texas Health at San Antonio, San Antonio, TX"
 Justin Anderson,Geisel School of Medicine at Dartmouth,"Geisel School of Medicine at Dartmouth, Lebanon, NH"
 Megan Ciborowski,Orlando,"Orlando, FL"
 Eric Mahoney,Sudbury,"Sudbury, MA"
 Hannah Wichmann,N/A,N/A
 Jaclyn Jordan,Lehighton,"Lehighton, PA"
 Caroline Haver,N/A,N/A
 Quinton Behlers,Nebraska Medicine,"Nebraska Medicine, Omaha, NE"
 Jackson Dunitz,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Carmen Mabel Arroyo-Novoa,University of Puerto Rico,"University of Puerto Rico, Medical Sciences Campus, San Juan, PR"
 Justin Richards,University of Maryland School of Medicine,"University of Maryland School of Medicine, Baltimore, MD"
 Carlos Pelaez,The Iowa Clinic,"The Iowa Clinic, Des Moines, IA"
 Kaori Ito,Teikyo University Hospital Trauma and Resuscitation Center,"Teikyo University Hospital Trauma and Resuscitation Center, Tokyo, Japan"
 Leslie Matthews,Morehouse School of Medicine,"Morehouse School of Medicine, Atlanta, GA"
 Monica Gray,Rainbow Babies & Children’s Hospital,"Rainbow Babies & Children’s Hospital, Cleveland, OH"
 Chong Shu-Ling,KK Women’s and Children’s Hospital,"KK Women’s and Children’s Hospital, Singapore"
 Elizabeth Killien,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Quynh Nguyen,Stanford University School of Medicine,"Stanford University School of Medicine, Stanford, CA"
 Takaharu Karube,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Erin Herstine,Johns Hopkins University School of Medicine,"Johns Hopkins University School of Medicine, Baltimore, MD"
 Laura Nguyen,Torrance,"Torrance, CA"
